Locatienaam,Eenheid,Plaats,Gemeente,Latitude,Longitude,,Argus,,1,,2,,3,,4
A 4 Re 56.5 Westland,Den Haag,Schipluiden,Midden-Delfland,51.98515,4.327171,Ja,,x,,,,,,,
07 Billitonln x Marath.w,Rotterdam,Vlaardingen,Vlaardingen,51.91247,4.32746,Ja,,,,x,,,,x,
07 F.deVijfdeln x Marath.wg,Rotterdam,Vlaardingen,Vlaardingen,51.91339,4.32794,Ja,,,,x,,,,x,
07 Oude Maaspad HBR,Rotterdam,Rotterdam,Rotterdam,51.870349,4.32834,Ja,,x,,x,,,,x,
07 Venkelweg HBR,Rotterdam,Rotterdam,Rotterdam,51.873596,4.334114,Ja,,x,,x,,,,x,
N470 Kruithuiswg ri Pijnacker,Den Haag,Delft,Delft,51.984222,4.334503,Ja,,x,,,,,,,
N470 Kruithuiswg Schipluiden,Den Haag,Delft,Delft,51.984643,4.336064,Ja,,x,,,,,,,
06 Bezdnhtswg ri Huis tn Bosch,Den Haag,Den Haag,Den Haag,52.088952,4.336534,Ja,,x,,,,,,,
06 Bezdnhtswg ri New Babylon,Den Haag,Den Haag,Den Haag,52.088952,4.336534,Ja,,x,,,,,,,
06 Bezdnhtswg ri Reigersbrgnwg,Den Haag,Den Haag,Den Haag,52.088952,4.336534,Ja,,x,,,,,,,
07 Spijk.brug ri Hoogvliet,Rotterdam,Hoogvliet,Rotterdam,51.858226,4.337013,Ja,,,,x,,,,x,
07 Spijk.brug ri Spijkenisse,Rotterdam,Hoogvliet,Rotterdam,51.858226,4.337013,Ja,,,,x,,,,x,
A15 Li 47.3 Botlektunnel,Rotterdam,Rotterdam,Rotterdam,51.873293,4.340939,Ja,,x,,x,,,,x,
A15 Re 47.3 Botlektunnel,Rotterdam,Rotterdam,Rotterdam,51.873293,4.340939,Ja,,x,,x,,,,x,
06 Leidsestrtwg ri Benoordhtwg,Den Haag,Den Haag,Den Haag,52.095382,4.341919,Ja,,x,,,,,,,
06 Leidsestrtwg ri Boslaan,Den Haag,Den Haag,Den Haag,52.095382,4.341919,Ja,,x,,,,,,,
06 Leidsestrtwg ri Chateu Blue,Den Haag,Den Haag,Den Haag,52.095382,4.341919,Ja,,x,,,,,,,
06 Leidsestrtwg ri Ln Nw Indie,Den Haag,Den Haag,Den Haag,52.095382,4.341919,Ja,,x,,,,,,,
A20 Li 21.8 Vlaardingen,Rotterdam,Vlaardingen,Vlaardingen,51.920918,4.342022,Ja,,x,,x,,,,x,
06 Bezdnhtswg ri Ln v Nw Indie,Den Haag,Den Haag,Den Haag,52.0915,4.343812,Ja,,x,,,,,,,
06 Bezdnhtswg ri Ambsde Bosnie,Den Haag,Den Haag,Den Haag,52.091363,4.344181,Ja,,x,,,,,,,
06 Bezdnhtswg ri CarelReinrskd,Den Haag,Den Haag,Den Haag,52.091363,4.344181,Ja,,x,,,,,,,
06 Bezdnhtswg ri Esso,Den Haag,Den Haag,Den Haag,52.091363,4.344181,Ja,,x,,,,,,,
06 Bezdnhtswg ri Hofzichtlaan,Den Haag,Den Haag,Den Haag,52.091363,4.344181,Ja,,x,,,,,,,
06 Rijswk Delftwg ri Zuiderwg,Den Haag,Rijswijk,Rijswijk,52.034983,4.345701,Ja,,x,,,,,,,
06 Rijswk Delftwg ri L.Hoornwk,Den Haag,Rijswijk,Rijswijk,52.030383,4.346493,Ja,,x,,,,,,,
A15 Li 47.9 Afrit 17 HVT HBR,Rotterdam,Rotterdam,Rotterdam,51.875187,4.34822,Ja,,x,,x,,,,x,
06 laan v Nw Oosteinde Maanweg,Den Haag,Voorburg,Leidschendam-Voorb,52.069167,4.355833,Ja,,x,,,,,,,
06 Bernh.laan x Nw Oosteinde,Den Haag,Voorburg,Leidschendam-Voorb,52.068808,4.356701,Ja,,x,,,,,,,
07 Vondelingeweg HBR,Rotterdam,Rotterdam,Rotterdam,51.876864,4.35755,Ja,,x,,x,,,,x,
N44 Li 26.8 Wassenaar,Den Haag,Wassenaar,Wassenaar,52.108191,4.363088,Ja,,x,,,,,,,
A 4 Li 70.2 Schiedam,Rotterdam,Schiedam,Schiedam,51.924293,4.36581,Ja,,x,,x,,x,,,
A 4 Re 70.2 Schiedam,Rotterdam,Schiedam,Schiedam,51.924293,4.36581,Ja,,x,,x,,x,,,
06 Bernh.laan x Martinuslaan,Den Haag,Voorburg,Leidschendam-Voorb,52.079444,4.369722,Ja,,x,,,,,,,
N59 48.9 Bosweg ri A29,Rotterdam,Ooltgensplaat,Goeree-Overflakkee,51.701266,4.371775,Ja,,x,,,,,,x,
N59 48.9 Bosweg ri Oude Tonge,Rotterdam,Ooltgensplaat,Goeree-Overflakkee,51.701266,4.371775,Ja,,,,x,,,,x,
N59 48.9 Volkerakdm ri A29,Rotterdam,Ooltgensplaat,Goeree-Overflakkee,51.701266,4.371775,Ja,,x,,,,,,x,
N59 48.9 Volkerakdm ri O.Tonge,Rotterdam,Ooltgensplaat,Goeree-Overflakkee,51.701266,4.371775,Ja,,,,x,,,,x,
A 4 Re 73.8 BA Benelux,Rotterdam,Rotterdam,Rotterdam,51.89422,4.376269,Ja,,x,,x,,x,,,
A 4 Re 73.8 BB Benelux,Rotterdam,Rotterdam,Rotterdam,51.89422,4.376269,Ja,,x,,x,,x,,,
A 4 Li 73.8 BD Benelux,Rotterdam,Rotterdam,Rotterdam,51.894079,4.376668,Ja,,x,,x,,x,,,
A 4 Li 73.8 BE Benelux,Rotterdam,Rotterdam,Rotterdam,51.894079,4.376668,Ja,,x,,x,,x,,,
07 Butaanweg HBR,Rotterdam,Rotterdam,Rotterdam,51.881623,4.381338,Ja,,x,,x,,,,x,
06 Noordsingel x Weigelia,Den Haag,Voorburg,Leidschendam,52.086658,4.383683,Ja,,x,,,,,,,
N289 8.7 Hoogerh. Putte NL UIT,Zeeland-West-Brabant,Putte,Woensdrecht,51.367742,4.388518,Ja,,,,x,,,,x,
