Locatienaam,Eenheid,Plaats,Gemeente,Latitude,Longitude,,Argus,,1,,2,,3,,4
05 Vlaardingenlaan,Amsterdam,Amsterdam,Amsterdam,52.346836,4.841893,Ja,,,,x,,x,,,
S106 Afr A10 Re x C. Lelylaan,Amsterdam,Amsterdam,Amsterdam,52.357222,4.843056,Ja,,x,,x,,,,x,
05 Nachtwachtlaan,Amsterdam,Amsterdam,Amsterdam,52.359351,4.843249,Ja,,,,x,,x,,,
05 Hendrikje Stoffelstraat,Amsterdam,Amsterdam,Amsterdam,52.3563,4.84345,Ja,,,,x,,x,,,
05 Heemstedestraat,Amsterdam,Amsterdam,Amsterdam,52.351496,4.843625,Ja,,,,x,,x,,,
05 Postjesweg,Amsterdam,Amsterdam,Amsterdam,52.364163,4.843864,Ja,,,,x,,x,,,
05 Poeldijkstraat,Amsterdam,Amsterdam,Amsterdam,52.350043,4.843947,Ja,,,,x,,x,,,
N516 Re 1.2 Thorb.weg ri A8,Noord-Holland,Zaandam,Zaanstad,52.429922,4.844202,Ja,,,,x,,,,,
05 Lelylaan,Amsterdam,Amsterdam,Amsterdam,52.357877,4.844286,Ja,,,,x,,x,,,
05 Jan van Galenstraat,Amsterdam,Amsterdam,Amsterdam,52.3721,4.844403,Ja,,,,x,,x,,,
05 Jan Evertsenstraat,Amsterdam,Amsterdam,Amsterdam,52.369274,4.844718,Ja,,,,x,,x,,,
05 Bos en Lommerplein,Amsterdam,Amsterdam,Amsterdam,52.377696,4.845056,Ja,,,,x,,x,,,
05 Henk Sneevlietweg,Amsterdam,Amsterdam,Amsterdam,52.345894,4.845361,Ja,,,,x,,x,,,
05 Wiltzanghlaan,Amsterdam,Amsterdam,Amsterdam,52.38173,4.845585,Ja,,,,x,,x,,,
05 Jaagpad ri A10,Amsterdam,Amsterdam,Amsterdam,52.336581,4.846141,Ja,,,,x,,x,,,
05 Jaagpad ri Riekerweg,Amsterdam,Amsterdam,Amsterdam,52.336581,4.846412,Ja,,,,x,,x,,,
05 Haarlemmerweg,Amsterdam,Amsterdam,Amsterdam,52.384926,4.847145,Ja,,,,x,,x,,,
05 Jollenpad ri haven,Amsterdam,Amsterdam,Amsterdam,52.335464,4.851641,Ja,,,,x,,x,,,
05 Jollenpad ri Jachthavenweg,Amsterdam,Amsterdam,Amsterdam,52.335464,4.851641,Ja,,,,x,,x,,,
05 Jachthvnwg ri Pramenpad,Amsterdam,Amsterdam,Amsterdam,52.333133,4.855056,Ja,,,,x,,x,,,
05 Jachthvnwg ri Sportpark,Amsterdam,Amsterdam,Amsterdam,52.333133,4.855056,Ja,,,,x,,x,,,
S108 Amsterdamsewg Aveen IN,Amsterdam,Amstelveen,Amstelveen,52.320708,4.857266,Ja,,,,x,,,,x,
05 Amstelv.wg-Eyckbrg AMS Uit,Amsterdam,Amsterdam,Amsterdam,52.342112,4.857391,Ja,,,,x,,x,,,
A10 29.9 Coen Wissel AMS IN,Amsterdam,Amsterdam,Amsterdam,52.407856,4.857695,Ja,,x,,x,,x,,,
A10 29.9 Coen Wissel AMS UIT,Amsterdam,Amsterdam,Amsterdam,52.407856,4.857695,Ja,,x,,x,,x,,,
A10 Re 29.2 Coentunnel,Amsterdam,Amsterdam,Amsterdam,52.407856,4.857695,Ja,,x,,x,,,,x,
05 Amstelveenseweg,Amsterdam,Amsterdam,Amsterdam,52.341661,4.857801,Ja,,,,x,,x,,,
05 A-veen MvCleveln ri plntsn,Amsterdam,Amstelveen,Amstelveen,52.320588,4.85936,Ja,,,,x,,x,,,
05 A-veen MvCleveln ri Schpnln,Amsterdam,Amstelveen,Amstelveen,52.320588,4.85936,Ja,,,,x,,x,,,
A 8 Re 3.3 Zaandam,Noord-Holland,Oostzaan,Oostzaan,52.439934,4.859503,Ja,,,,x,,,,,
N516 Li 2.5 Thorbeckeweg,Noord-Holland,Zaandam,Zaanstad,52.431779,4.862505,Ja,,,,x,,,,,
05 Nieuwe Hemweg,Amsterdam,Amsterdam,Amsterdam,52.393882,4.863788,Ja,,,,x,,x,,,
A15 Li 89.5 Hardinxveld,Rotterdam,Hardinxveld-Gie,Hardinxveld-Giessen,51.82643,4.867233,Ja,,x,,x,,,,x,
A15 Re 89.5 Hardinxveld,Rotterdam,Hardinxveld-Gie,Hardinxveld-Giessen,51.82643,4.867233,Ja,,x,,x,,,,x,
05 Parnassuswg-De brug AMS In,Amsterdam,Amsterdam,Amsterdam,52.344114,4.867806,Ja,,,,x,,x,,,
05 Parnassuswg-De brug AMS Ui,Amsterdam,Amsterdam,Amsterdam,52.344114,4.867806,Ja,,,,x,,x,,,
S109 Beneluxbaan A-veen IN,Amsterdam,Amstelveen,Amstelveen,52.321388,4.868951,Ja,,,,x,,,,x,
05 Parnassusweg,Amsterdam,Amsterdam,Amsterdam,52.337192,4.869058,Ja,,,,x,,x,,,
05 Parnassuswg-Mahlerln AMS In,Amsterdam,Amsterdam,Amsterdam,52.336932,4.869061,Ja,,,,x,,x,,,
A10 Li 30.7 Coentunnel,Amsterdam,Amsterdam,Amsterdam,52.419453,4.869148,Ja,,x,,x,,x,,,
05 Spaarndammerdijk,Amsterdam,Amsterdam,Amsterdam,52.393001,4.870111,Ja,,,,x,,x,,,
05 Rozengracht-Oost,Amsterdam,Amsterdam,Amsterdam,52.371859,4.874814,Ja,,,,x,,x,,,
05 Tweede H.de Grootstr. Oost,Amsterdam,Amsterdam,Amsterdam,52.373941,4.875973,Ja,,,,x,,x,,,
05 Beethvnstr-Langebrg AMS Uit,Amsterdam,Amsterdam,Amsterdam,52.344303,4.876395,Ja,,,,x,,x,,,
05 Beethvnstr-Langebrg AMS In,Amsterdam,Amsterdam,Amsterdam,52.344338,4.876751,Ja,,,,x,,x,,,
05 Beethovenstraat,Amsterdam,Amsterdam,Amsterdam,52.340353,4.876962,Ja,,,,x,,x,,,
05 Beethvnstr-AkzoNobel AMS IN,Amsterdam,Amsterdam,Amsterdam,52.340356,4.876964,Ja,,,,x,,x,,,
05 Marnixplein-Oost,Amsterdam,Amsterdam,Amsterdam,52.377806,4.878594,Ja,,,,x,,x,,,
05 Koekjesbrug ri Marnixstraat,Amsterdam,Amsterdam,Amsterdam,52.366396,4.878692,Ja,,,,x,,x,,,
05 Koekjesbrug ri Nassaukade,Amsterdam,Amsterdam,Amsterdam,52.366396,4.878692,Ja,,,,x,,x,,,
05 Leidseplein ri Plein,Amsterdam,Amsterdam,Amsterdam,52.363553,4.881972,Ja,,,,x,,x,,,
N201 x Veenweg,Midden-Nederland,Mijdrecht,Mijdrecht,52.215916,4.882328,Ja,,,,x,,x,,,
05 Willemsbrug-Oost,Amsterdam,Amsterdam,Amsterdam,52.38473,4.88264,Ja,,,,x,,x,,,
05 AMS Bloemgr ri Prins.gr OVC,Amsterdam,Amsterdam,Amsterdam,52.375276,4.882983,Ja,,,,x,,x,,,
05 AMS Bloemgr. ri raamprtbr,Amsterdam,Amsterdam,Amsterdam,52.375276,4.882983,Ja,,,,x,,x,,,
N522 Li 10.6 Oranjebn Aveen IN,Amsterdam,Amstelveen,Amstelveen,52.300203,4.885792,Ja,,,,x,,,,x,
05 Museumbrug ri Rijks,Amsterdam,Amsterdam,Amsterdam,52.360815,4.886459,Ja,,,,x,,x,,,
05 Cornelis Douwesweg,Amsterdam,Amsterdam,Amsterdam,52.409112,4.887743,Ja,,,,x,,x,,,
A 9 Re 25.7a Afrit Amstelveen,Amsterdam,Amstelveen,Amstelveen,52.295545,4.888459,Ja,,,,x,,x,,,
05 AMS Brouwersgr ri Past.brg,Amsterdam,Amsterdam,Amsterdam,52.379698,4.889625,Ja,,,,x,,x,,,
05 AMS Brouwersgr ri Prins.gr,Amsterdam,Amsterdam,Amsterdam,52.379698,4.889625,Ja,,,,x,,x,,,
05 AMS Brouwersgr van Past.brg,Amsterdam,Amsterdam,Amsterdam,52.379698,4.889625,Ja,,,,x,,x,,,
05 AMS Brouwersgr van Prins.gr,Amsterdam,Amsterdam,Amsterdam,52.379698,4.889625,Ja,,,,x,,x,,,
05 Weteringln Noord ri Rotonde,Amsterdam,Amsterdam,Amsterdam,52.358574,4.891044,Ja,,,,x,,x,,,
05 Westerdoksdijk ri Barntspln,Amsterdam,Amsterdam,Amsterdam,52.387849,4.892077,Ja,,,,x,,x,,,
05 Westerdoksdijk ri ProRail,Amsterdam,Amsterdam,Amsterdam,52.387849,4.892077,Ja,,,,x,,x,,,
05 Europaboulevard,Amsterdam,Amsterdam,Amsterdam,52.339878,4.892393,Ja,,,,x,,x,,,
N405 Woerden 0.95 ri Woerden,Midden-Nederland,Woerden,Woerden,52.096539,4.894443,Ja,,,,x,,,,x,
05 AMS Pres.Kennedyln ri S109,Amsterdam,Amsterdam,Amsterdam,52.340765,4.895412,Ja,,,,x,,x,,,
05 AMS. Pres.Kennedyln ri S110,Amsterdam,Amsterdam,Amsterdam,52.340465,4.899037,Ja,,,,x,,x,,,
05 Westeinde ri Frederkispln,Amsterdam,Amsterdam,Amsterdam,52.35828,4.899409,Ja,,,,x,,x,,,
05 Oosteinde ri Sarphatistraat,Amsterdam,Amsterdam,Amsterdam,52.358709,4.901511,Ja,,,,x,,x,,,
05 Oosteinde ri Stadhouderskde,Amsterdam,Amsterdam,Amsterdam,52.358709,4.901511,Ja,,,,x,,x,,,
04 LNDSMR Langhsln ri Zdzeeln,Noord-Holland,Landsmeer,Landsmeer,52.427266,4.902449,Ja,,x,,,,,,,
04 LNDSMR Zdzeeln ri Langhsln,Noord-Holland,Landsmeer,Landsmeer,52.427266,4.902449,Ja,,x,,,,,,,
A12 Li 45.85 Oprit vanaf N204,Midden-Nederland,Woerden,Woerden,52.072735,4.902647,Ja,,x,,,,,,,
A12 Re 45.b Oprit vanaf N204,Midden-Nederland,Woerden,Woerden,52.070447,4.903672,Ja,,,,x,,,,x,
04 LNDSMR Langhsln ri Btnhsln,Noord-Holland,Landsmeer,Landsmeer,52.427264,4.905038,Ja,,x,,,,,,,
04 LNDSMR Langhsln ri sportvld,Noord-Holland,Landsmeer,Landsmeer,52.427264,4.905038,Ja,,x,,,,,,,
05 Ridderspoorweg ri kanaal,Amsterdam,Amsterdam,Amsterdam,52.396843,4.905224,Ja,,,,x,,x,,,
05 Ridderspoorweg vanaf kanaal,Amsterdam,Amsterdam,Amsterdam,52.396843,4.905224,Ja,,,,x,,x,,,
05 Papaverweg ri Klaprznwg,Amsterdam,Amsterdam,Amsterdam,52.396893,4.90543,Ja,,,,x,,x,,,
05 Papaverweg vanaf Klaprznwg,Amsterdam,Amsterdam,Amsterdam,52.396893,4.90543,Ja,,,,x,,x,,,
05 Papaverweg ri NDSMplein,Amsterdam,Amsterdam,Amsterdam,52.397067,4.905453,Ja,,,,x,,x,,,
05 Papaverweg vanaf NDSMplein,Amsterdam,Amsterdam,Amsterdam,52.397067,4.905453,Ja,,,,x,,x,,,
05 Riddersprwg ri Klaprznwg,Amsterdam,Amsterdam,Amsterdam,52.397067,4.905453,Ja,,,,x,,x,,,
05 Riddersprwg vanaf Klaprznwg,Amsterdam,Amsterdam,Amsterdam,52.397067,4.905453,Ja,,,,x,,x,,,
03 WRDN Mid.Zee ri Botn.golf,Midden-Nederland,Woerden,Woerden,52.074541,4.907715,Ja,,x,,,,,,,
03 WRDN Mid.Zee ri Zeeweg,Midden-Nederland,Woerden,Woerden,52.074541,4.907715,Ja,,x,,,,,,,
05 Rhijnspoorplein-Noord,Amsterdam,Amsterdam,Amsterdam,52.360984,4.90818,Ja,,,,x,,x,,,
03 WRDN Finse Glf ri Kattegat,Midden-Nederland,Woerden,Woerden,52.075555,4.909976,Ja,,x,,,,,,,
03 WRDN Finse Glf ri Mid.Zee,Midden-Nederland,Woerden,Woerden,52.075555,4.909976,Ja,,x,,,,,,,
05 Plntge Mdrgrcht ri Lepelln,Amsterdam,Amsterdam,Amsterdam,52.364966,4.910697,Ja,,,,x,,x,,,
05 PlntgeMdrgrcht ri Achtgrcht,Amsterdam,Amsterdam,Amsterdam,52.364966,4.910697,Ja,,,,x,,x,,,
05 Roetersstrt ri UVA,Amsterdam,Amsterdam,Amsterdam,52.364966,4.910697,Ja,,,,x,,x,,,
05 Roeterstrt ri Plantg.Kerkln,Amsterdam,Amsterdam,Amsterdam,52.364966,4.910697,Ja,,,,x,,x,,,
05 Nieuwe Utrechtseweg,Amsterdam,Amsterdam,Amsterdam,52.337849,4.91072,Ja,,,,x,,x,,,
05 Nw Achtrgrcht ri Twin Film,Amsterdam,Amsterdam,Amsterdam,52.362962,4.91087,Ja,,,,x,,x,,,
05 Nw Achtrgrcht ri Valcknstrt,Amsterdam,Amsterdam,Amsterdam,52.362962,4.91087,Ja,,,,x,,x,,,
05 Roetersstrt ri Sarphatihuis,Amsterdam,Amsterdam,Amsterdam,52.362962,4.91087,Ja,,,,x,,x,,,
05 Roetersstrt ri Sarphatistrt,Amsterdam,Amsterdam,Amsterdam,52.362962,4.91087,Ja,,,,x,,x,,,
N198 Woerden 54.5 ri A12,Midden-Nederland,Woerden,Woeren,52.097701,4.910885,Ja,,,,x,,,,x,
05 IJtunnel-Zuid,Amsterdam,Amsterdam,Amsterdam,52.386737,4.91462,Ja,,,,x,,x,,,
05 Nw. Leeuwarderweg,Amsterdam,Amsterdam,Amsterdam,52.38674,4.914671,Ja,,,,x,,x,,,
05 KortesGravensanderstr-Noord,Amsterdam,Amsterdam,Amsterdam,52.361964,4.915097,Ja,,,,x,,x,,,
05 Plntg Muidrgrch ri Middenln,Amsterdam,Amsterdam,Amsterdam,52.364147,4.918077,Ja,,,,x,,x,,,
05 Plntge Middnln ri Alexndpln,Amsterdam,Amsterdam,Amsterdam,52.364147,4.918077,Ja,,,,x,,x,,,
05 Plntge Middnln ri Artis,Amsterdam,Amsterdam,Amsterdam,52.364147,4.918077,Ja,,,,x,,x,,,
05 Plntge Middnln ri Muidrgrch,Amsterdam,Amsterdam,Amsterdam,52.364147,4.918077,Ja,,,,x,,x,,,
05 Alexanderpln ri Mauritskade,Amsterdam,Amsterdam,Amsterdam,52.363499,4.919915,Ja,,,,x,,x,,,
05 Alexanderpln ri Sarphatstrt,Amsterdam,Amsterdam,Amsterdam,52.363499,4.919915,Ja,,,,x,,x,,,
05 Spaklerweg,Amsterdam,Amsterdam,Amsterdam,52.333518,4.922968,Ja,,,,x,,x,,,
05 AMS K. Onnesbrug tunnel,Amsterdam,Amsterdam,Amsterdam,52.348809,4.923825,Ja,,,,x,,x,,,
05 Zeeburgrstrt ri Pontanustrt,Amsterdam,Amsterdam,Amsterdam,52.36637,4.926356,Ja,,,,x,,x,,,
05 Zeeburgrstrt ri Sarphatstrt,Amsterdam,Amsterdam,Amsterdam,52.36637,4.926356,Ja,,,,x,,x,,,
05 Piet Heinkade-West,Amsterdam,Amsterdam,Amsterdam,52.375353,4.928175,Ja,,x,,x,,x,,,
05 Cruquiuskade-West,Amsterdam,Amsterdam,Amsterdam,52.3675,4.92818,Ja,,,,x,,x,,,
N260 4.5 Baarle-Turnhout NLUIT,Zeeland-West-Brabant,Baarle-Nassau,Baarle-Nassau,51.424554,4.933388,Ja,,,,x,,,,x,
N260 4.5 Turnhout-Baarle NL IN,Zeeland-West-Brabant,Baarle-Nassau,Baarle-Nassau,51.424554,4.933388,Ja,,,,x,,,,x,
05 Gooiseweg,Amsterdam,Amsterdam,Amsterdam,52.339922,4.937583,Ja,,,,x,,x,,,
05 Rozenburglaan,Amsterdam,Amsterdam,Amsterdam,52.34024,4.937776,Ja,,,,x,,x,,,
N247 Nw Leeuwarderweg x A10,Amsterdam,Amsterdam,Amsterdam,52.40842,4.94029,Ja,,,,x,,,,x,
05 Ertskade ri Steltloper,Amsterdam,Amsterdam,Amsterdam,52.373908,4.941536,Ja,,,,x,,x,,,
05 Ertskade vanaf Steltloper,Amsterdam,Amsterdam,Amsterdam,52.373908,4.941536,Ja,,,,x,,x,,,
05 Panamakade ri Pythonbrug,Amsterdam,Amsterdam,Amsterdam,52.372793,4.942457,Ja,,,,x,,x,,,
05 Panamakade ri v. Eesterenln,Amsterdam,Amsterdam,Amsterdam,52.372793,4.942457,Ja,,,,x,,x,,,
S112 Gooiseweg x Toerit A10,Amsterdam,Duivendrecht,Ouder-Amstel,52.336389,4.943056,Ja,,,,x,,,,x,
05 AMS Randweg ri Diemerdrf,Amsterdam,Amsterdam,Amsterdam,52.333989,4.946323,Ja,,,,x,,x,,,
N235 3.1 Watergang ri PURMER,Noord-Holland,Onbekend,Onbekend,52.4491,4.949064,Ja,,,,x,,,,,
N235 3.1 Watergang ri AMSTERD,Noord-Holland,Onbekend,Onbekend,52.449123,4.949149,Ja,,,,x,,,,,
05 Middenweg,Amsterdam,Amsterdam,Amsterdam,52.341645,4.950202,Ja,,,,x,,x,,,
05 AMS Flierbosdrf ri CZO,Amsterdam,Amsterdam,Amsterdam,52.314441,4.956758,Ja,,,,x,,x,,,
05 AMS Flierbosdrf ri Bijlmdrf,Amsterdam,Amsterdam,Amsterdam,52.31415,4.957017,Ja,,,,x,,x,,,
04 Gorslaan Weteringstr,Noord-Holland,Purmerend,Purmerend,52.499513,4.958473,Ja,,,,x,,,,,
05 Diemen Geritsgl ri Breadz,Amsterdam,Diemen,Diemen,52.329027,4.959047,Ja,,,,x,,x,,,
05 Diemen Rietvldsngl Nienoord,Amsterdam,Diemen,Diemen,52.329027,4.959047,Ja,,,,x,,x,,,
05 Bergwijkdrf ri Bushlt InHln,Amsterdam,Amsterdam,Amsterdam,52.327108,4.960198,Ja,,,,x,,x,,,
05 Bergwijkdrf ri Jan Wolkrsln,Amsterdam,Amsterdam,Amsterdam,52.327108,4.960198,Ja,,,,x,,x,,,
A 2 Re 38.8 Abcoude,Midden-Nederland,Abcoude,De Ronde Venen,52.266155,4.960596,Ja,,,,x,,,,x,
05 Piet Heintunnel,Amsterdam,Amsterdam,Amsterdam,52.372335,4.961688,Ja,,,,x,,x,,,
N204 x Ben.eind ZZ,Midden-Nederland,Benschop,Lopik,52.00616,4.962254,Ja,,,,,,,,,
A 2 Li 38.9 Abcoude,Midden-Nederland,Abcoude,De Ronde Venen,52.266382,4.962345,Ja,,,,x,,,,x,
05 Elsrijkdreef ri Daalwijkdrf,Amsterdam,Amsterdam,Amsterdam,52.327453,4.967964,Ja,,,,x,,x,,,
05 Elsrijkdreef ri Eekholt,Amsterdam,Amsterdam,Amsterdam,52.327453,4.967964,Ja,,,,x,,x,,,
A 7 Li 20.9 Purmerend,Noord-Holland,Noordbeemster,Beemster,52.56508,4.968236,Ja,,,,x,,,,,
A 7 Re 20.9 Purmerend,Noord-Holland,Noordbeemster,Beemster,52.56508,4.968236,Ja,,,,x,,,,,
05  H. de Haanbrg ri jachthvn,Amsterdam,Amsterdam,Amsterdam,52.360921,4.975338,Ja,,,,x,,x,,,
05  H. de Haanbrg van jachthvn,Amsterdam,Amsterdam,Amsterdam,52.360921,4.975338,Ja,,,,x,,x,,,
N99 17.0 Rijkstraatwg ri A7,Noord-Holland,Hippolytushoef,Hollands Kroon,52.910876,4.984016,Ja,,x,,x,,,,,
N99 17.0 Rijkstrtwg ri Wstrlnd,Noord-Holland,Hippolytushoef,Hollands Kroon,52.910876,4.984016,Ja,,x,,x,,,,,
05 W.Veldstrt ri W.Ramstrt,Amsterdam,Amsterdam,Amsterdam,52.293709,4.989399,Ja,,,,x,,x,,,
05 W.Veldstrt ri Wageningdreef,Amsterdam,Amsterdam,Amsterdam,52.293709,4.989399,Ja,,,,x,,x,,,
N247 34.2 Brk in Wtrlnd ri AMS,Noord-Holland,Broek In Waterla,Waterland,52.430807,4.991488,Ja,,,,x,,,,,
N247 34.2 Brk in Wtrlnd ri BIW,Noord-Holland,Broek in Waterla,Broek in Waterland,52.430807,4.991488,Ja,,,,x,,,,,
A27 Li 47.0 Meerkerk,Rotterdam,Meerkerk,Zederik,51.932502,4.996677,Ja,,x,,x,,,,x,
A27 Re 47.0 Meerkerk,Rotterdam,Meerkerk,Zederik,51.932502,4.996677,Ja,,x,,x,,,,x,
N282 Bredaseweg x Zwartv.weg,Zeeland-West-Brabant,Tilburg,Tilburg,51.5606,5.0244,Ja,,x,,x,,,,x,
A 1 Li 10.6 Muiden,Midden-Nederland,Muiden,Gooise Meren,52.330095,5.041192,Ja,,,,x,,,,,
A 1 Li 10.6 Parallelbn Muiden,Midden-Nederland,Muiden,Gooise Meren,52.330095,5.041192,Ja,,,,x,,,,,
A 1 Li 11.1 Muiden,Amsterdam,Muiden,Gooise Meren,52.328333,5.045833,Ja,,,,x,,,,x,
A 1 Re 11.0 Muiden,Amsterdam,Muiden,Gooise Meren,52.328333,5.045833,Ja,,,,x,,,,x,
N630 Goirle - Poppel NL uit,Zeeland-West-Brabant,Goirle,Goirle,51.471921,5.048394,Ja,,,,,,x,,x,
N630 Poppel - Goirle NL in,Zeeland-West-Brabant,Goirle,Goirle,51.471921,5.048394,Ja,,,,,,x,,x,
A12 Re Pr 56.8 Oudenrijn,Midden-Nederland,Utrecht,Utrecht,52.067689,5.060175,Ja,,,,x,,,,x,
A12 Re Sc 56.8 Oudenrijn,Midden-Nederland,Utrecht,Utrecht,52.067689,5.060175,Ja,,,,x,,,,x,
08 Ringbaan W x Bredaseweg,Zeeland-West-Brabant,Tilburg,Tilburg,51.556667,5.063889,Ja,,x,,,,,,x,
03 weg nd Poort x Buizerlaan,Midden-Nederland,Nieuwegein,Nieuwegein,52.0275,5.068056,Ja,,,,x,,x,,,
A 2 Li 72.4 Vianen,Midden-Nederland,Vianen,Vianen,51.990306,5.081879,Ja,,,,x,,,,x,
A 2 Re 72.4 Vianen,Midden-Nederland,Vianen,Vianen,51.990306,5.081879,Ja,,,,x,,,,x,
A27 Re 64.7 Nieuwegein,Midden-Nederland,Houten,Houten,52.003792,5.115572,Ja,,,,x,,x,,,
A27 Li 64.7 Nieuwegein,Midden-Nederland,Houten,Houten,52.0038,5.115575,Ja,,,,x,,x,,,
A12 Li Pr 61.4 Lunetten,Midden-Nederland,Utrecht,Utrecht,52.05634,5.124839,Ja,,,,x,,,,x,
N269 3.5 Hilvarenbeek Reusel,Oost-Brabant,Reusel,Reusel-De Mierden,51.374565,5.154175,Ja,,,,x,,,,,
N269 3.5 Hilvarenbeek Reusel,Oost-Brabant,Reusel,Reusel-De Mierden,51.374565,5.154175,Ja,,,,x,,,,,
N269 3.5 Reusel Hilvarenbeek,Oost-Brabant,Reusel,Reusel-De Mierden,51.374565,5.154175,Ja,,,,x,,,,,
N269 3.5 Reusel Hilvarenbeek,Oost-Brabant,Reusel,Reusel-De Mierden,51.374565,5.154175,Ja,,,,x,,,,,
N525 Larenseweg,Midden-Nederland,Hilversum,Hilversum,52.236666,5,Ja,,x,,x,,,,,
A67 Li 0.2 Bladel GO NL UIT,Oost-Brabant,Bladel,Bladel,51.319167,5.209444,Ja,,,,x,,,,,
A67 Li 0.2 Bladel GO NL UIT,Oost-Brabant,Bladel,Bladel,51.319167,5.209444,Ja,,,,x,,,,,
A67 Li 0.2 Bladel GO NL UIT,Oost-Brabant,Bladel,Bladel,51.319167,5.209444,Ja,,x,,,,,,,
A67 Re 0.2 Bladel GO NL IN,Oost-Brabant,Bladel,Bladel,51.319167,5.209722,Ja,,,,x,,,,,
A67 Re 0.2 Bladel GO NL IN,Oost-Brabant,Bladel,Bladel,51.319167,5.209722,Ja,,,,x,,,,,
A67 Re 0.2 Bladel GO NL IN,Oost-Brabant,Bladel,Bladel,51.319167,5.209722,Ja,,x,,,,,,,
09 Deutersestraat ri Cromvoirt,Oost-Brabant,Cromvoirt,Cromvoirt,51.669264,5.234701,Ja,,x,,,,,,,
09 Deutersestraat ri Cromvoirt,Oost-Brabant,Cromvoirt,Cromvoirt,51.669264,5.234701,Ja,,x,,,,,,,
09 Deutersestraat ri Den Bosch,Oost-Brabant,Cromvoirt,Cromvoirt,51.669264,5.234701,Ja,,x,,,,,,,
09 Deutersestraat ri Den Bosch,Oost-Brabant,Cromvoirt,Cromvoirt,51.669264,5.234701,Ja,,x,,,,,,,
N65 Li 8.0 ri Vught,Oost-Brabant,Helvoirt,Helvoirt,51.635767,5.248454,Ja,,x,,,,,,,
N65 Li 8.0 ri Vught,Oost-Brabant,Helvoirt,Helvoirt,51.635767,5.248454,Ja,,x,,,,,,,
N65 Re 8.0 ri Helvoirt,Oost-Brabant,Helvoirt,Helvoirt,51.635767,5.248454,Ja,,x,,,,,,,
N65 Re 8.0 ri Helvoirt,Oost-Brabant,Helvoirt,Helvoirt,51.635767,5.248454,Ja,,x,,,,,,,
09 Vught Pepereind ri Cromvrt,Oost-Brabant,Vught,Vught,51.656405,5.253748,Ja,,x,,,,,,,
09 Vught Pepereind ri Cromvrt,Oost-Brabant,Vught,Vught,51.656405,5.253748,Ja,,x,,,,,,,
09 Vught Pepereind ri Vught,Oost-Brabant,Vught,Vught,51.656405,5.253748,Ja,,x,,,,,,,
09 Vught Pepereind ri Vught,Oost-Brabant,Vught,Vught,51.656405,5.253748,Ja,,x,,,,,,,
N702 x Pldrdrf ri Lelystad,Midden-Nederland,Almere,Almere,52.402223,5.258586,Ja,,,,x,,x,,,
N702 x Gr. Vrtwg ri Almere Std,Midden-Nederland,Almere,Almere,52.40278,5.25962,Ja,,,,x,,x,,,
A12 Li 70.9 Driebergen,Landelijke Eenheid,Driebergen,Driebergen,52.059074,5.259861,Ja,,x,,,,,,,
A12 Re 71.1 Afrit Driebergen,Landelijke Eenheid,Driebergen,Driebergen,52.05954,5.263599,Ja,,x,,,,,,,
03 3B Zeist Hfdstr ri A12,Landelijke Eenheid,Driebergen Zeist,Driebergen,52.062303,5.264939,,Ja,,x,,,,,,
03 3B Zeist Hfdstr ri Zeist,Landelijke Eenheid,Driebergen Zeist,Driebergen,52.062303,5.264939,,Ja,,x,,,,,,
09 Vught Boslaan ri Cromvrt,Oost-Brabant,Vught,Vught,51.65249,5.265746,Ja,,x,,,,,,,
09 Vught Boslaan ri Cromvrt,Oost-Brabant,Vught,Vught,51.65249,5.265746,Ja,,x,,,,,,,
09 Vught Boslaan ri Vught,Oost-Brabant,Vught,Vught,51.65249,5.265746,Ja,,x,,,,,,,
09 Vught Boslaan ri Vught,Oost-Brabant,Vught,Vught,51.65249,5.265746,Ja,,x,,,,,,,
03 Driebergen De Woerd IN,Landelijke Eenheid,Driebergen Rijse,Driebergen,52.057935,5.266878,,Ja,,x,,,,,,
03 Driebergen De Woerd UIT,Landelijke Eenheid,Driebergen Rijse,Driebergen,52.057935,5.266878,,Ja,,x,,,,,,
A12 Li 71.8 Afrit Driebergen,Landelijke Eenheid,Driebergen,Driebergen,52.062187,5.26804,Ja,,x,,,,,,,
03 Driebergen Hfdstr ri A12,Landelijke Eenheid,Driebergen Rijse,Driebergen,52.059942,5.269046,,Ja,,x,,,,,,
03 Driebergen Hfdstr ri Centr.,Landelijke Eenheid,Driebergen Rijse,Driebergen,52.059942,5.269046,,Ja,,x,,,,,,
N307 49.3 Dijk Enkhzn-Lelystad,Noord-Holland,Enkhuizen,Enkhuizen,52.694514,5.279222,Ja,,,,x,,,,,
N307 49.3 Dijk Lelystad-Enkhzn,Noord-Holland,Enkhuizen,Enkhuizen,52.694514,5.279222,Ja,,,,x,,,,,
A12 Re 72.8 Driebergen,Landelijke Eenheid,Driebergen,Driebergen,52.064909,5.28542,Ja,,x,,,,,,,
A65 Li 4.2 ri A2,Oost-Brabant,Vught,Vught,51.657824,5.288679,Ja,,,,x,,,,,
A65 Li 4.2 ri A2,Oost-Brabant,Vught,Vught,51.657824,5.288679,Ja,,,,x,,,,,
A65 Re 4.2 ri Helvoirt,Oost-Brabant,Vught,Vught,51.658324,5.288831,Ja,,x,,,,,,,
A65 Re 4.2 ri Helvoirt,Oost-Brabant,Vught,Vught,51.658324,5.288831,Ja,,x,,,,,,,
