Naam,Locatie (straat),Locatie (GPS Latitude),Locatie (GPS Longtitude),Tijdigheid camera,Geplaatst op,Wordt verwijderd op,Eigenaar camera,Afdeling,Doel van de camera,Omschrijving
UTR-VTH-242,Lange Smeestraat,52.08586,5.120577,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-VTH-243,Springweg,52.08585,5.120563,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-CM-541,Lange Jansstraat / Janskerkhof,52.09346,5.12043,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-549,Choorstraat / Lijnmarkt / Zadelstraat,52.09033,5.12011,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-510,Korte Minrebroederstraat,52.09210,5.11994,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-VTH-244,Oudkerkhof,52.09153,5.119939,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-VTH-224,Oudkerkhof,52.09153,5.11993,Vast,,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-OOR-011,Goylaan - Hoofd Graaflandstraat,52.06605,5.119916,Vast,01/07/2021,,Gemeente Utrecht,OOR,Visuele inspectie op afwikkeling verkeer,Live beelden worden beoordeeld om onveilige situatie waar te nemen en na onderzoek acties te kunnen toepassen.
UTR-CM-511,Stadhuisbrug / Oudkerkhof / Vismarkt,52.09142,5.11985,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-VTH-241,Schoutenstraat,52.09230,5.11966,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-CM-537,Breedstraat / Hardebollenstraat,52.09508,5.11933,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-SB-131,Korte Minrebroederstraat 2,52.09188,5.11929,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Bereikbaarheid: Stadhuis
UTR-SB-137,Jutphaseweg,52.07313,5.11927,Vast,,,Gemeente Utrecht,BOR,Veilig gebruik brug,Bruggen: Oranjebrug
UTR-CM-504,Neude / Schoutenstraat,52.09309,5.11924,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-509,Ganzenmarkt / Stadhuisbrug / Oudegracht,52.09186,5.11894,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-505,Neude / Drakenburgstr / Vinkenburgstr,52.09282,5.11877,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
